"ANO";"NIVEL";"CODMUNRES";"TO";"TORC";"TORCR";"TO_NN";"TO_N";"TO_CB_I";"TO_CB_N";"TO_CB_C";"TO_CB_R";"TO_CB_O";"TO_M";"TO_F";"TO_F_IF";"TO_FT";"TO_NT";"TO_NT_P";"TO_NT_T";"TO_PNT";"TONT_B";"TONT_PT";"TONT_A";"TONT_PD";"TONT_I";"TO_MT";"TO_MT_DG";"TO_MT_PT";"TO_MT_AB";"TO_MT_42";"TO_MT_43";"TO_MT_P";"TO_MT_P_I";"TO_MT_P_ES";"TO_MT_P_EFI";"TO_MT_P_EFII";"TO_MT_P_EM";"TO_MT_P_ESI";"TO_MT_P_ESC"
2016;"MUNICIPIO";230000;2;2502;0;1;1;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230010;65;2502;1;7;58;0;9;17;6;26;40;25;2;0;4;4;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230015;97;2502;0;15;82;2;13;30;8;29;61;36;2;0;6;6;0;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230020;348;2502;14;47;301;11;41;105;39;105;205;143;21;0;22;13;9;1;3;1;0;17;0;2;1;1;0;0;0;2;1;0;1;1;0;0;0
2016;"MUNICIPIO";230030;373;2502;7;41;332;9;78;125;57;63;215;158;11;0;8;7;1;0;3;0;0;4;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230040;83;2502;3;13;70;5;14;35;6;10;49;34;2;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230050;62;2502;3;8;54;0;7;29;10;8;30;32;1;0;3;1;2;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230060;56;2502;4;7;49;4;8;18;9;10;31;25;3;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230070;99;2502;6;17;82;6;12;37;7;20;63;36;2;0;4;3;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230075;179;2502;11;28;151;8;25;40;31;47;104;75;10;0;5;3;2;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230080;62;2502;4;7;55;1;14;15;5;20;26;36;5;0;2;2;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230090;88;2502;1;11;77;1;17;27;15;17;43;44;3;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";230100;462;2502;6;99;363;7;73;101;58;124;279;182;22;0;28;23;5;0;5;0;0;13;0;1;1;0;0;0;0;1;1;0;0;0;0;0;1
